"ID";"Name";"Longitude_WGS84";"Latitude_WGS84";"Street";"AdmArea";"District";"RouteNumbers";"StationName";"Direction";"Pavilion";"OperatingOrgName";"EntryState";"global_id";"geoData";
"7";"«Дербеневская наб.», 3-й Дербеневский переулок (7)";"37.6551636";"55.72566817";"3-й Дербеневский переулок";"Южный административный округ";"Даниловский район";"А632; А13";"Дербеневская наб.";"";"да";"ГУП «Мосгортранс»";"активна";"889076457";"{type=Point, coordinates=[37.6551636, 55.72566817]}";
"11";"«Наб. Тараса Шевченко», набережная Тараса Шевченко (11)";"37.57240854";"55.74944352";"набережная Тараса Шевченко";"Западный административный округ";"район Дорогомилово";"А205; А91";"Наб. Тараса Шевченко";"";"да";"ГУП «Мосгортранс»";"активна";"889076459";"{type=Point, coordinates=[37.57240854, 55.74944352]}";
"12";"«Наб. Тараса Шевченко», набережная Тараса Шевченко (12)";"37.57271647";"55.74976112";"набережная Тараса Шевченко";"Западный административный округ";"район Дорогомилово";"А91";"Наб. Тараса Шевченко";"";"да";"ГУП «Мосгортранс»";"активна";"889076460";"{type=Point, coordinates=[37.57271647, 55.74976112]}";
"27";"«ВКНЦ», 3-я Черепковская улица (27)";"37.37550932";"55.7572642";"3-я Черепковская улица";"Западный административный округ";"район Кунцево";"А798; А816; А660";"ВКНЦ";"";"да";"ГУП «Мосгортранс»";"активна";"889076461";"{type=Point, coordinates=[37.37550932, 55.7572642]}";
"33";"«Новосущевская ул.», улица Сущёвский Вал (33)";"37.60337594";"55.79289095";"улица Сущёвский Вал";"Северо-Восточный административный округ";"район Марьина Роща";"А126; А84; А384; АТ18; АТ42";"Новосущевская ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889076463";"{type=Point, coordinates=[37.60337594, 55.79289095]}";
"35";"«Керамический пр.», Дубнинская улица (35)";"37.55724554";"55.89460802";"Дубнинская улица";"Северный административный округ";"район Восточное Дегунино";"А799; А179; А167; А677; А677К";"Керамический пр.";"";"да";"ГУП «Мосгортранс»";"активна";"889076464";"{type=Point, coordinates=[37.55724554, 55.89460802]}";
"36";"«Ин-т Стали», Дубнинская улица (36)";"37.55729147";"55.89142924";"Дубнинская улица";"Северный административный округ";"район Восточное Дегунино";"А799; А179; А167; А677; А677К";"Ин-т Стали";"";"да";"ГУП «Мосгортранс»";"активна";"889076465";"{type=Point, coordinates=[37.55729147, 55.89142924]}";
"37";"«Мкр. Дубки», Дубнинская улица (37)";"37.55730686";"55.88768746";"Дубнинская улица";"Северный административный округ";"район Восточное Дегунино";"А799; А179; А167; А677; А677К";"Мкр. Дубки";"";"да";"ГУП «Мосгортранс»";"активна";"889076466";"{type=Point, coordinates=[37.55730686, 55.88768746]}";
"38";"«Д/к Юность», Дубнинская улица (38)";"37.5573643949";"55.8833589241";"Дубнинская улица";"Северный административный округ";"район Восточное Дегунино";"А799; А179; А167; А677; А677К";"Д/к Юность";"";"да";"ГУП «Мосгортранс»";"активна";"889076467";"{type=Point, coordinates=[37.5573643949, 55.8833589241]}";
"39";"«Баскетбольная школа», улица 800-летия Москвы (39)";"37.55636146";"55.88011364";"улица 800-летия Москвы";"Северный административный округ";"район Восточное Дегунино";"А799; А179; А748; А167; А857; А149";"Баскетбольная школа";"";"да";"ГУП «Мосгортранс»";"активна";"889076469";"{type=Point, coordinates=[37.55636146, 55.88011364]}";
